name,Class,Acquired,Round,School,Position,Height (ft),Weight (lb),40 (s)
AMC Am+A2:H35bassador BroughamAMC Ambassador Brougham,13,8,360,175,3821,11,73,1
AMC Ambassador DPL,15,8,390,190,3850,8.5,70,1
AMC Ambassador SST,17,8,304,150,3672,11.5,72,3
AMC Concord DL 6,20.2,6,232,90,3265,18.2,79,3
AMC Concord DL,18.1,6,258,120,3410,15.1,78,3
AMC Concord DL,23,4,151,,3035,20.5,82,3
AMC Concord,19.4,6,232,90,3210,17.2,78,3
AMC Concord,24.3,4,151,90,3003,20.1,80,3
AMC Gremlin,18,6,232,100,2789,15,73,3
AMC Gremlin,19,6,232,100,2634,13,71,3
AMC Gremlin,20,6,232,100,2914,16,75,34
AMC Gremlin,21,6,199,90,2648,15,70,345
AMC Hornet Sportabout (Wagon),18,6,258,110,2962,13.5,71,67
AMC Hornet,18,6,199,97,2774,15.5,70,657
AMC Hornet,18,6,232,100,2945,16,73,67
AMC Hornet,19,6,232,100,2901,16,74,456
AMC Hornet,22.5,6,232,90,3085,17.6,76,456
AMC Matador (Wagon),14,8,304,150,4257,15.5,74,344
AMC Matador (Wagon),15,8,304,150,3892,12.5,72,324
AMC Matador,14,8,304,150,3672,11.5,73,6
AMC Matador,15,6,258,110,3730,19,75,6
AMC Matador,15.5,8,304,120,3962,13.9,76,7
AMC Matador,16,6,258,110,3632,18,74,67
AMC Matador,18,6,,100,3288,15.5,71,8
AMC Pacer D/L,17.5,6,258,95,3193,17.8,76,67
AMC Pacer,19,6,232,90,3211,17,75,5
AMC Rebel SST (Wagon),,8,360,175,3850,11,70,5
AMC Rebel SST,16,8,304,150,3433,12,70,5
AMC Spirit DL,27.4,4,121,80,2670,15,79,5
Audi 100 LS,20,4,114,91,2582,14,73,5
Audi 100 LS,23,4,115,95,2694,15,75,5
Audi 100 LS,24,4,107,90,2430,14.5,70,5
Audi 4000,34.3,4,97,78,2188,15.8,80,5
Audi 5000,20.3,5,131,103,2830,15.9,78,5
Audi 5000S (Diesel),36.4,5,121,67,2950,19.9,80,5
Audi Fox,29,4,98,83,2219,16.5,74,3
BMW 2002,26,4,121,113,2234,12.5,70,6
BMW 320i,21.5,4,121,110,2600,12.8,77,4
Buick Century 350,13,8,350,175,4100,13,73,423
Buick Century Limited,25,6,181,110,2945,16.4,82,7
Buick Century Luxus (Wagon),13,8,350,150,4699,14.5,74,3
Buick Century Special,20.6,6,231,105,3380,15.8,78,4
Buick Century,17,6,231,110,3907,21,75,3
Buick Century,22.4,6,231,110,3415,15.8,81,9
Buick Electra 225 Custom,12,8,455,225,4951,11,73,6
Buick Estate Wagon (Wagon),14,8,455,225,3086,10,70,9
Buick Estate Wagon (Wagon),16.9,8,350,155,4360,14.9,79,10.5
Buick Lesabre Custom,13,8,350,155,4502,13.5,72,12
Buick Opel Isuzu Deluxe,30,4,111,80,2155,14.8,77,13.5
Buick Regal Sport Coupe (Turbo),17.7,6,231,165,3445,13.4,78,15
Buick Skyhawk,21,6,231,110,3039,15,75,16.5
Buick Skylark 320,15,8,350,165,3693,11.5,70,18
Buick Skylark Limited,28.4,4,151,90,2670,16,79,19.5
Buick Skylark,20.5,6,231,105,3425,16.9,77,21
Buick Skylark,26.6,4,151,84,2635,16.4,81,22.5
Cadillac Eldorado,23,8,350,125,3900,17.4,79,24
Cadillac Seville,16.5,8,350,180,4380,12.1,76,25.5
Chevroelt Chevelle Malibu,16,6,250,105,3897,18.5,75,27
Chevrolet Bel Air,15,8,350,145,4440,14,75,28.5
Chevrolet Camaro,27,4,151,90,2950,17.3,82,30
Chevrolet Caprice Classic,13,8,400,150,4464,12,73,31.5
Chevrolet Caprice Classic,17,8,305,130,3840,15.4,79,33
Chevrolet Caprice Classic,17.5,8,305,145,3880,12.5,77,34.5
Chevrolet Cavalier 2-Door,34,4,112,88,2395,18,82,36
Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,82,37.5
Chevrolet Cavalier,28,4,112,88,2605,19.6,82,39
Chevrolet Chevelle Concours (Wagon),,8,350,165,4142,11.5,70,40.5
Chevrolet Chevelle Concours (Wagon),13,8,307,130,4098,14,72,42
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,17,74,43.5
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,13,76,45
Chevrolet Chevelle Malibu,17,6,250,100,3329,15.5,71,46.5
Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,48
Chevrolet Chevette,29,4,85,52,2035,22.2,76,49.5
Chevrolet Chevette,30,4,98,68,2155,16.5,78,51
Chevrolet Chevette,30.5,4,98,63,2051,17,77,52.5
Chevrolet Chevette,32.1,4,98,70,2120,15.5,80,54
Chevrolet Citation,23.5,6,173,110,2725,12.6,81,55.5
Chevrolet Citation,28,4,151,90,2678,16.5,80,57
Chevrolet Citation,28.8,6,173,115,2595,11.3,79,58.5
Chevrolet Concours,17.5,6,250,110,3520,16.4,77,60
Chevrolet Impala,11,8,400,150,4997,14,73,61.5
Chevrolet Impala,13,8,350,165,4274,12,72,63
Chevrolet Impala,14,8,350,165,4209,12,71,64.5
Chevrolet Impala,14,8,454,220,4354,9,70,66
Chevrolet Malibu Classic (Wagon),19.2,8,267,125,3605,15,79,67.5
Chevrolet Malibu,13,8,350,145,3988,13,73,69
Chevrolet Malibu,20.5,6,200,95,3155,18.2,78,70.5
Chevrolet Monte Carlo Landau,15.5,8,350,170,4165,11.4,77,72
Chevrolet Monte Carlo Landau,19.2,8,305,145,3425,13.2,78,73.5
Chevrolet Monte Carlo S,15,8,350,145,4082,13,73,75
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70,76.5
Chevrolet Monza 2+2,20,8,262,110,3221,13.5,75,78
Chevrolet Nova Custom,16,6,250,100,3278,18,73,79.5
Chevrolet Nova,15,6,250,100,3336,17,74,81
Chevrolet Nova,18,6,250,105,3459,16,75,82.5
Chevrolet Nova,22,6,250,105,3353,14.5,76,84
Chevrolet Vega (Wagon),22,4,140,72,2408,19,71,85.5
Chevrolet Vega 2300,28,4,140,90,2264,15.5,71,87
Chevrolet Vega,20,4,140,90,2408,19.5,72,88.5
Chevrolet Vega,21,4,140,72,2401,19.5,73,90
Chevrolet Vega,25,4,140,75,2542,17,74,91.5
Chevrolet Woody,24.5,4,98,60,2164,22.1,76,93
Chevy C10,13,8,350,145,4055,12,76,94.5
Chevy C20,10,8,307,200,4376,15,70,96
Chevy S-10,31,4,119,82,2720,19.4,82,97.5
Chrysler Cordoba,15.5,8,400,190,4325,12.2,77,99
Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,100.5
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,102
Chrysler Lebaron Town & Country (Wagon),18.5,8,360,150,3940,13,79,103.5
Chrysler New Yorker Brougham,13,8,440,215,4735,11,73,105
Chrysler Newport Royal,13,8,400,190,4422,12.5,72,106.5
Citroen DS-21 Pallas,,4,133,115,3090,17.5,70,108
Datsun 1200,35,4,72,69,1613,18,71,109.5
Datsun 200SX,23.9,4,119,97,2405,14.9,78,111
Datsun 200SX,32.9,4,119,100,2615,14.8,81,112.5
Datsun 210,31.8,4,85,65,2020,19.2,79,114
Datsun 210,37,4,85,65,1975,19.4,81,115.5
Datsun 210,40.8,4,85,65,2110,19.2,80,117
Datsun 280ZX,32.7,6,168,132,2910,11.4,80,118.5
Datsun 310 GX,38,4,91,67,1995,16.2,82,120
Datsun 310,37.2,4,86,65,2019,16.4,80,121.5
Datsun 510 (Wagon),28,4,97,92,2288,17,72,123
Datsun 510 Hatchback,37,4,119,92,2434,15,80,124.5
Datsun 510,27.2,4,119,97,2300,14.7,78,126
Datsun 610,22,4,108,94,2379,16.5,73,127.5
Datsun 710,24,4,119,97,2545,17,75,129
Datsun 710,32,4,83,61,2003,19,74,130.5
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,132
Datsun 810,22,6,146,97,2815,14.5,77,133.5
Datsun B-210,32,4,85,70,1990,17,76,135
Datsun B210 GX,39.4,4,85,70,2070,18.6,78,136.5
Datsun B210,31,4,79,67,1950,19,74,138
Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,77,139.5
Datsun PL510,27,4,97,88,2130,14.5,70,141
Datsun PL510,27,4,97,88,2130,14.5,71,142.5
Dodge Aries SE,29,4,135,84,2525,16,82,144
Dodge Aries Wagon (Wagon),25.8,4,156,92,2620,14.4,81,145.5